title,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Bubbly,"ConKi, K!llx, NAJA",0.6,0.845,6,-3.725,0.0531,0.0403,0.0234,0.206,0.165,89.965
I'm Good (Blue),"David Guetta, Bebe Rexha",0.561,0.965,7,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
Calm Down (with Selena Gomez),"Rema, Selena Gomez",0.801,0.806,11,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999
Chemicals,"Madism, Thierry Von Der Warth",0.712,0.82,2,-6.743,0.0402,0.422,0.00181,0.161,0.195,131.996
Water,Tyla,0.673,0.722,3,-3.495,0.0755,0.0856,0.0,0.137,0.519,117.187
Glimpse of Us,Joji,0.44,0.317,8,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914
Stargazing,Myles Smith,0.635,0.601,1,-6.129,0.0295,0.246,0.0,0.11,0.332,123.994
Kill Bill,SZA,0.644,0.735,8,-5.747,0.0391,0.0521,0.144,0.161,0.418,88.98
Roaring 20s,"DVNY, RITHMAL, Alec MacGillivray",0.647,0.888,8,-5.137,0.0477,0.0622,0.0,0.0784,0.431,124.069
Under The Influence,Chris Brown,0.755,0.562,9,-8.947,0.0355,0.0186,0.000231,0.18,0.368,116.931
Where Are You Now,"Lost Frequencies, Calum Scott",0.671,0.636,6,-8.117,0.103,0.515,0.000411,0.172,0.262,120.966
Belong Together,Mark Ambor,0.646,0.668,2,-5.203,0.0282,0.491,0.0,0.212,0.64,90.969
Sun Comes Down,"Iaco, David Emde",0.672,0.714,6,-8.924,0.0317,0.121,0.000127,0.117,0.426,127.993
Stick Season,Noah Kahan,0.664,0.5,9,-6.935,0.0651,0.799,0.0,0.0966,0.801,117.896
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",0.504,0.386,11,-10.976,0.0308,0.502,1.53e-05,0.0961,0.281,192.004
Training Season,Dua Lipa,0.812,0.587,5,-4.483,0.0477,0.0349,2.64e-06,0.123,0.664,123.041
Rip,"Zummer, Elle Sloan",0.746,0.826,11,-5.111,0.0684,0.0385,0.0,0.247,0.835,130.014
Taste,Sabrina Carpenter,0.674,0.907,3,-4.086,0.064,0.101,0.0,0.297,0.721,112.964
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",0.741,0.691,10,-7.395,0.0672,0.0221,0.0,0.0476,0.892,150.087
Ghost,"ConKi, Zummer, Joel Pritchard, Amelia McLean",0.582,0.898,1,-4.516,0.0343,0.0162,0.0021,0.156,0.42,119.962
Bones,Imagine Dragons,0.773,0.742,5,-3.678,0.046,0.0206,0.0,0.0754,0.571,114.071
In The Stars,Benson Boone,0.362,0.54,10,-6.031,0.0528,0.338,0.0,0.139,0.3,78.007
Wherever You Are,"Sugar Jesus, Felix Samuel, Dayrunnrs",0.629,0.87,7,-5.418,0.0406,0.0162,0.127,0.263,0.329,123.996
Lovin On Me,Jack Harlow,0.943,0.558,2,-4.911,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983
Houdini,Eminem,0.936,0.878,9,-2.798,0.0723,0.0283,2.31e-06,0.0689,0.902,126.992
Take You There,"ConKi, Janethan, Goodkins",0.642,0.746,8,-5.984,0.0927,0.118,0.0,0.286,0.532,122.869
Made You Look,Meghan Trainor,0.834,0.522,10,-3.574,0.0703,0.34,1.59e-06,0.0783,0.854,145.035
we can't be friends (wait for your love),Ariana Grande,0.645,0.646,5,-8.334,0.0427,0.0615,3.04e-05,0.074,0.295,115.842
Same Heart,"Zummer, Tiinah",0.654,0.794,10,-5.598,0.0314,0.05,0.0,0.291,0.427,127.999
Watermelon Sugar,Harry Styles,0.548,0.816,0,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39
Heat Waves,Glass Animals,0.761,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
We Can Talk Baby,"ConKi, Artur Sikorski",0.808,0.41,5,-7.791,0.0357,0.696,0.0,0.116,0.78,114.06
Strangers,Kenya Grace,0.628,0.523,11,-8.307,0.0946,0.701,0.00274,0.219,0.416,169.982
MIDDLE OF THE NIGHT,Elley Duhé,0.41,0.611,4,-8.271,0.0467,0.0228,0.0,0.116,0.0899,185.727
Ain’t the One,"ConKi, Aukoustics",0.737,0.798,11,-5.61,0.149,0.574,0.0,0.287,0.625,98.021
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05
Starboy,"The Weeknd, Daft Punk",0.679,0.587,7,-7.015,0.276,0.141,6.35e-06,0.137,0.486,186.003
A Better Day,"DENNICK, DiFi, Poylow, Zev",0.687,0.674,11,-6.617,0.108,0.142,0.0,0.17,0.519,118.357
abcdefu,GAYLE,0.695,0.54,4,-5.692,0.0493,0.299,0.0,0.367,0.415,121.932
Easy On Me,Adele,0.604,0.366,5,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981
True Love,"ConKi, Barmuda",0.635,0.771,0,-6.026,0.0807,0.124,0.0,0.528,0.312,126.041
SNAP,Rosa Linn,0.565,0.636,0,-8.198,0.0638,0.107,9.9e-06,0.447,0.525,170.01
About Damn Time,Lizzo,0.836,0.743,10,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966
Down by the River,"Loran, Andrea Toscano, Patrick Lite",0.659,0.696,6,-8.306,0.0267,0.293,0.00178,0.134,0.395,115.013
love nwantiti (ah ah ah),CKay,0.727,0.739,8,-3.805,0.0411,0.365,0.00137,0.161,0.533,93.005
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977
90s Better,"ConKi, Zummer, MAZEMIRROR",0.548,0.991,0,-3.524,0.0482,0.11,0.00105,0.131,0.646,145.982
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",0.728,0.783,11,-4.424,0.266,0.237,0.0,0.434,0.555,77.011
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",0.677,0.696,0,-6.181,0.119,0.321,0.0,0.42,0.464,90.03
No Caller Id,"Corena, NATE SEBSIBE, Gabriel Wittner",0.755,0.888,8,-6.037,0.0579,0.0434,0.000967,0.254,0.309,120.056
Sunroof,"Nicky Youre, dazy",0.768,0.714,10,-5.11,0.0401,0.352,0.0,0.15,0.842,131.443
Beggin',Måneskin,0.714,0.8,11,-4.808,0.0504,0.127,0.0,0.359,0.589,134.002
Above the Clouds,"ConKi, K!llx, Crooked Bangs",0.709,0.853,0,-4.585,0.0467,0.254,1.73e-05,0.113,0.58,120.049
Cupid - Twin Ver.,FIFTY FIFTY,0.783,0.592,11,-8.332,0.0331,0.435,4.15e-06,0.347,0.726,120.018
Lover,Taylor Swift,0.359,0.543,7,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534
Love Is All Around,"MarchY, Adrian Winkler",0.826,0.641,7,-5.151,0.0761,0.621,0.00013,0.121,0.774,111.959
Pepas,Farruko,0.762,0.766,7,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",0.702,0.825,6,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977
Dangerous,Senhit,0.594,0.901,5,-4.79,0.085,0.0993,0.0,0.141,0.43,144.927
All or Nothing,"Sugar Jesus, SAMMY & LESEN, Alex Jacquin",0.655,0.825,8,-5.143,0.0586,0.0552,0.0,0.173,0.287,117.97
Whatever,"Kygo, Ava Max",0.58,0.777,3,-5.69,0.0655,0.104,0.0,0.342,0.589,108.005
Bad Habits,Ed Sheeran,0.808,0.897,11,-3.712,0.0348,0.0469,3.14e-05,0.364,0.591,126.026
Behind the Moon,"K!llx, ConKi",0.744,0.785,1,-2.812,0.0331,0.0721,0.0,0.165,0.555,123.968
MONTERO (Call Me By Your Name),Lil Nas X,0.61,0.508,8,-6.682,0.152,0.297,0.0,0.384,0.758,178.818
TEXAS HOLD 'EM,Beyoncé,0.727,0.711,2,-6.549,0.078,0.582,0.0,0.158,0.375,110.012
Hello Shadow,"Sugar Jesus, Dani Doucette",0.586,0.798,2,-7.359,0.0446,0.0239,2.6e-05,0.354,0.145,125.962
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",0.721,0.738,7,-4.77,0.0403,0.00226,4.41e-06,0.118,0.637,119.976
Infinity,Jaymes Young,0.671,0.673,11,-6.941,0.0444,0.15,5.16e-05,0.304,0.493,121.96
Hunger,"ConKi, Joel Pritchard",0.623,0.763,1,-7.866,0.213,0.559,0.00192,0.155,0.338,110.057
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",0.736,0.704,3,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995
Save Your Tears,The Weeknd,0.679,0.825,0,-5.487,0.0309,0.0212,1.21e-05,0.543,0.644,118.049
Let It Go,"Nck, Gabby Patrice",0.591,0.57,7,-7.607,0.035,0.365,1.74e-05,0.346,0.22,110.106
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine",0.824,0.862,2,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",0.791,0.862,9,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994
It's a Shame,"TUDOR, muuno, Sam Welch",0.742,0.772,10,-6.275,0.0523,0.00945,0.000187,0.327,0.0966,124.978
Astronaut In The Ocean,Masked Wolf,0.778,0.695,4,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996
Blinding Lights,The Weeknd,0.513,0.73,1,-5.94,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001
Tu Es Foutu,"ConKi, B.R.T, NAJA",0.787,0.615,11,-10.815,0.0975,0.0895,0.0101,0.0799,0.43,130.008
Head & Heart (feat. MNEK),"Joel Corry, MNEK",0.732,0.874,8,-3.158,0.0662,0.168,1.17e-05,0.0489,0.905,122.961
Paper Thin,Julian Cross,0.6,0.682,6,-5.239,0.0739,0.0304,3.34e-06,0.515,0.254,128.066
Circles,Post Malone,0.695,0.763,0,-3.497,0.0396,0.189,0.00242,0.0863,0.551,120.042
Let You Go,"Tc-5, Acko, Mal",0.738,0.694,11,-5.045,0.0395,0.0529,0.0,0.173,0.61,123.985
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",0.586,0.616,5,-7.964,0.0324,0.182,0.0,0.0927,0.719,148.088
I Wish I Never,Barmuda,0.659,0.739,1,-5.235,0.0468,0.112,1.15e-06,0.27,0.749,153.951
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",0.727,0.782,8,-8.529,0.042,0.0563,0.336,0.225,0.655,119.992
Be With You,EMOTIONAL,0.648,0.654,3,-10.825,0.0335,0.212,0.559,0.18,0.0397,119.967
Stay,"MarchY, JeLa, Robbie Rosen, Ennui",0.465,0.807,0,-3.358,0.0538,0.0481,1.63e-05,0.173,0.283,123.463
Don't Start Now,Dua Lipa,0.793,0.793,11,-4.521,0.083,0.0123,0.0,0.0951,0.679,123.95
Oh I Remember,Patrick Lite,0.615,0.869,7,-5.842,0.041,0.286,0.000121,0.104,0.324,118.995
Memories,Maroon 5,0.775,0.327,11,-7.241,0.0557,0.841,0.0,0.0821,0.595,91.05
Automatic,"GYMBRO, YOU",0.521,0.848,9,-6.778,0.0497,0.0203,0.934,0.576,0.48,135.041
Breakaway,"Weisser Quiff, ConKi",0.706,0.707,4,-7.294,0.0293,0.258,1.73e-06,0.106,0.834,100.002
Roses - Imanbek Remix,"SAINt JHN, Imanbek",0.77,0.724,8,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975
Without You,"Tungevaag, Amero, TEN TIMES, NOBILEE",0.663,0.934,10,-6.994,0.0576,0.0785,0.00755,0.0917,0.398,146.004
Let You Go,"ConKi, K!llx, SOHBEK",0.647,0.901,7,-4.419,0.0304,0.0158,0.0221,0.151,0.4,121.986
Ride It,Regard,0.88,0.751,7,-4.258,0.0874,0.177,6.43e-05,0.106,0.884,117.948
Wanna Do It,K!llx,0.609,0.86,4,-4.082,0.0557,0.0354,2.48e-05,0.104,0.526,126.003
Sweet but Psycho,Ava Max,0.72,0.706,1,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002
Turn Me On,"ConKi, EMDI, Jorik Burema",0.635,0.904,7,-5.598,0.076,0.00645,1.92e-06,0.405,0.191,125.039
Celebrate - Beave Remix,"Dici, Beave",0.687,0.942,4,-4.71,0.0765,0.0363,0.0,0.101,0.462,126.029
Always Remember,"jeonghyeon, Able Faces",0.669,0.907,11,-3.654,0.0372,0.107,0.000694,0.172,0.701,125.017
Light up the Sky,"ay-Mill, Paul Hawksworth, Gabriel Wittner",0.669,0.848,0,-4.317,0.0507,0.0167,0.0,0.222,0.41,121.96
Euphoria,"Medusa, Dylan Baksalara, Repulse, Gulmee",0.573,0.881,7,-4.771,0.3,0.289,0.0131,0.319,0.229,155.297
King Of My Castle,"Naeleck, Agent Zed",0.64,0.947,8,-3.18,0.0475,0.00359,0.00193,0.0384,0.377,74.97
Remember My Love,"B.R.T, Becky Smith",0.723,0.962,1,-5.883,0.179,0.13,0.000453,0.102,0.795,140.126
Supergirl,"Dream Chaos, Della",0.641,0.595,6,-8.622,0.222,0.344,0.00688,0.235,0.241,112.004
One Final Dance,"Drenchill, Becky Smith",0.681,0.878,2,-6.871,0.0556,0.0954,0.00196,0.204,0.215,133.026
Set It Off,"YAM, Janethan",0.646,0.713,7,-7.669,0.0378,0.0411,0.0,0.593,0.563,122.057
The World Is Mine,"ConKi, B.R.T, Shiah Maisel",0.736,0.711,5,-6.272,0.0625,0.0082,6.66e-05,0.168,0.317,123.993
Let Her Go - Lost Coconut Remix,"Dual Sessions, Lost Coconut",0.708,0.512,11,-11.976,0.0375,0.624,0.00358,0.202,0.281,120.021
When the Starlight's Gone,"Nostalgic Feeling, Ladina Viva",0.699,0.837,11,-4.648,0.0352,0.0211,0.0027,0.0837,0.325,119.99
Wait For You,"R3SPAWN, CPayne, Kevu",0.648,0.714,1,-9.818,0.0389,0.0461,0.0113,0.0677,0.67,139.916
rearview,leoleo,0.783,0.65,3,-7.172,0.0324,0.321,0.000203,0.106,0.761,120.964
Why,Deny,0.72,0.814,6,-4.918,0.066,0.0576,6.4e-05,0.566,0.702,122.988
The Past & The Exes (Never Think of You),RAD III,0.735,0.699,5,-9.962,0.0349,0.0412,0.544,0.135,0.0978,130.998
No Therapy - Italy,Minelli,0.752,0.86,3,-6.838,0.0449,0.0302,0.00041,0.166,0.37,123.987
run(ning from my exes),Amanda Frances,0.917,0.342,1,-9.024,0.0693,0.0747,0.00829,0.177,0.388,90.03
Wow Me,Marlaé,0.658,0.691,0,-6.311,0.0359,0.198,2.28e-06,0.134,0.352,125.951
Big Dawgs,"Hanumankind, Kalmi",0.464,0.745,4,-3.202,0.161,0.0235,0.0,0.363,0.262,180.098
Guess featuring billie eilish,"Charli xcx, Billie Eilish",0.78,0.713,0,-4.493,0.0888,0.0167,0.206,0.144,0.615,130.034
Moral of the Story,Ashe,0.569,0.403,10,-8.618,0.0439,0.593,4.49e-06,0.102,0.269,119.819
End of Beginning,Djo,0.689,0.454,2,-7.643,0.0584,0.0351,0.00259,0.0707,0.912,159.982
Houdini,Dua Lipa,0.744,0.789,9,-4.876,0.059,0.0036,0.00144,0.0947,0.866,116.985
"yes, and?",Ariana Grande,0.787,0.775,1,-6.614,0.0548,0.19,6.54e-05,0.113,0.787,118.998
Falling,Trevor Daniel,0.784,0.43,10,-8.756,0.0364,0.123,0.0,0.0887,0.236,127.087
Let Me Down Slowly,Alec Benjamin,0.652,0.557,1,-5.714,0.0318,0.74,0.0,0.124,0.483,150.073
At My Worst,Pink Sweat$,0.813,0.415,0,-5.926,0.0349,0.777,0.0,0.131,0.667,91.921
"Alone, Pt. II","Alan Walker, Ava Max",0.67,0.668,3,-4.306,0.0422,0.536,0.0,0.133,0.608,88.033
Arcade,Duncan Laurence,0.453,0.35,9,-11.639,0.0425,0.827,0.00122,0.144,0.279,72.017
People,Libianca,0.573,0.422,10,-7.621,0.0678,0.551,1.31e-05,0.102,0.693,124.357
It's You,Ali Gatie,0.732,0.463,11,-6.972,0.0287,0.374,0.0,0.194,0.397,95.971
Heartbreak Anniversary,Giveon,0.443,0.459,0,-8.955,0.074,0.546,1.05e-06,0.307,0.565,87.064
Infinity,Jaymes Young,0.671,0.673,11,-6.941,0.0444,0.148,5.29e-05,0.304,0.494,121.963
comethru,Jeremy Zucker,0.796,0.178,0,-11.991,0.0572,0.607,0.0,0.623,0.608,93.976
Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN, Sia",0.259,0.437,11,-6.589,0.0386,0.102,1.32e-06,0.106,0.0951,180.042
lovely (with Khalid),"Billie Eilish, Khalid",0.351,0.296,4,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",0.881,0.592,2,-4.898,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
Attention,Charlie Puth,0.775,0.613,3,-4.586,0.0542,0.109,2.33e-05,0.134,0.797,100.066
If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",0.464,0.473,1,-10.086,0.129,0.866,0.0,0.109,0.604,75.801
you broke me first,Tate McRae,0.667,0.373,4,-9.389,0.05,0.785,0.0,0.0906,0.0823,124.148
Bad Liar,Imagine Dragons,0.307,0.637,3,-6.993,0.0569,0.0732,0.0,0.368,0.0805,88.693
good 4 u,Olivia Rodrigo,0.563,0.664,9,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928
Sucker,Jonas Brothers,0.842,0.734,1,-5.065,0.0588,0.0427,0.0,0.106,0.952,137.958
MONEY,LISA,0.826,0.553,1,-10.121,0.234,0.163,4.12e-05,0.135,0.4,140.037
Without Me,Halsey,0.752,0.488,6,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041
Die For You (with Ariana Grande) - Remix,"The Weeknd, Ariana Grande",0.556,0.515,1,-6.573,0.0633,0.266,0.0,0.344,0.492,66.958
2002,Anne-Marie,0.697,0.683,1,-2.881,0.117,0.0372,0.0,0.137,0.603,96.133
Señorita,"Shawn Mendes, Camila Cabello",0.759,0.54,9,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947
Unstoppable,Sia,0.468,0.779,9,-4.839,0.0779,0.112,0.000373,0.101,0.26,173.799
Here With Me,d4vd,0.575,0.45,4,-9.306,0.0259,0.531,6.59e-05,0.124,0.263,132.039
FRIENDS,"Marshmello, Anne-Marie",0.626,0.88,9,-2.384,0.0504,0.205,0.0,0.128,0.534,95.079
golden hour,JVKE,0.515,0.593,4,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",0.56,0.68,6,-7.648,0.321,0.555,0.0,0.116,0.319,89.391
Believer,Imagine Dragons,0.776,0.78,10,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949
Hate Me (with Juice WRLD),"Ellie Goulding, Juice WRLD",0.657,0.768,8,-4.628,0.0507,0.108,0.0,0.144,0.759,75.025
Heather,Conan Gray,0.357,0.425,5,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078
Be Alright,Dean Lewis,0.553,0.586,11,-6.319,0.0362,0.697,0.0,0.0813,0.443,126.684
willow,Taylor Swift,0.392,0.574,7,-9.195,0.17,0.833,0.00179,0.145,0.529,81.112
7 rings,Ariana Grande,0.777,0.317,1,-10.732,0.308,0.591,0.0,0.0881,0.33,139.848
Intentions,"Justin Bieber, Quavo",0.811,0.553,9,-6.644,0.0552,0.317,0.0,0.105,0.86,148.014
Escapism.,"RAYE, 070 Shake",0.538,0.742,2,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.107
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",0.842,0.801,8,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881
Falling,Harry Styles,0.567,0.267,4,-6.502,0.0299,0.839,1.46e-06,0.089,0.0592,110.011
death bed (coffee for your head),"Powfu, beabadoobee",0.726,0.431,8,-8.765,0.135,0.731,0.0,0.696,0.348,144.026
cardigan,Taylor Swift,0.613,0.581,0,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033
I'm a Mess,Bebe Rexha,0.63,0.694,11,-6.257,0.0253,0.00281,0.0,0.0719,0.216,97.005
positions,Ariana Grande,0.737,0.802,0,-4.771,0.0878,0.468,0.0,0.0931,0.682,144.015
"Sit Still, Look Pretty",Daya,0.846,0.734,2,-3.601,0.108,0.286,8.27e-05,0.425,0.717,90.98
Too Good At Goodbyes,Sam Smith,0.715,0.372,5,-8.237,0.0443,0.638,0.0,0.169,0.474,91.931
traitor,Olivia Rodrigo,0.38,0.339,3,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607
Thunder,Imagine Dragons,0.604,0.822,0,-4.833,0.0438,0.00672,0.134,0.147,0.288,167.997
Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson",0.707,0.629,0,-4.581,0.0563,0.259,1.6e-05,0.138,0.457,122.863
Delicate,Taylor Swift,0.75,0.404,9,-10.178,0.0682,0.216,0.000357,0.0911,0.0499,95.045
hot girl bummer,blackbear,0.782,0.559,6,-7.106,0.0767,0.125,0.0,0.385,0.685,129.992
Lose You To Love Me,Selena Gomez,0.516,0.342,4,-8.985,0.0425,0.55,0.0,0.21,0.0993,102.819
"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber",0.654,0.63,10,-4.644,0.0259,0.153,0.0,0.111,0.43,89.991
Blank Space,Taylor Swift,0.76,0.703,5,-5.412,0.054,0.103,0.0,0.0913,0.57,95.997
Anyone,Justin Bieber,0.686,0.538,2,-8.026,0.0345,0.181,3.13e-06,0.113,0.584,115.884
deja vu,Olivia Rodrigo,0.442,0.612,2,-7.222,0.112,0.584,5.7e-06,0.37,0.178,180.917
Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",0.649,0.798,2,-4.346,0.178,0.226,0.0,0.0711,0.857,177.899
Beautiful Mistakes (feat. Megan Thee Stallion),"Maroon 5, Megan Thee Stallion",0.713,0.676,10,-5.483,0.027,0.0377,0.0,0.154,0.721,99.048
Take You Dancing,Jason Derulo,0.789,0.711,2,-4.248,0.041,0.0332,0.0,0.0876,0.753,112.985
Mood (feat. iann dior),"24kGoldn, iann dior",0.701,0.716,7,-3.671,0.0361,0.174,0.0,0.324,0.732,91.007
Butter,BTS,0.759,0.459,8,-5.187,0.0948,0.00323,0.0,0.0788,0.695,109.997
Better,Khalid,0.596,0.552,0,-10.278,0.097,0.0765,0.334,0.104,0.112,97.949
Call You Mine,"The Chainsmokers, Bebe Rexha",0.585,0.696,4,-5.6,0.0307,0.204,0.0,0.344,0.522,104.01
drivers license,Olivia Rodrigo,0.561,0.431,10,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875
Yummy,Justin Bieber,0.688,0.514,9,-6.612,0.0903,0.366,0.0,0.116,0.494,145.919
What I Am,ZAYN,0.461,0.503,7,-8.333,0.0472,0.47,0.0,0.212,0.293,79.183
The Emptiness Machine,Linkin Park,0.466,0.872,7,-3.344,0.0336,0.0156,0.0,0.121,0.806,184.115
APT.,"ROSÉ, Bruno Mars",0.777,0.783,0,-4.477,0.26,0.0283,0.0,0.355,0.939,149.027
It Girl (feat. Sampagne),"Shirin David, Sampagne",0.919,0.623,2,-5.312,0.101,0.0508,6.59e-06,0.0587,0.756,127.032
Sailor Song,Gigi Perez,0.494,0.413,11,-10.432,0.0254,0.682,6.72e-05,0.193,0.273,94.938
Rote Flaggen,Berq,0.359,0.336,1,-12.895,0.0422,0.773,0.0,0.184,0.109,109.94
Bauch Beine Po,Shirin David,0.954,0.746,4,-6.113,0.0995,0.0272,0.00227,0.0892,0.886,123.969
